Complex Name,Block Name,Flat No,Customer Name,Phone,Email,Parking Slot,License Plate,Vehicle Type,Make,Model,Color,Plan Name,Custom Price,Interior Frequency,Assigned Worker
Brigade Apartments,Block A,1594,Ajay Rao,919800000000,user1@example.com,Bl-1594,KA-36-AB-8304,hatchback,Hyundai,i20,White,Daily Wash,,4,Shanmugha P
Brigade Apartments,Block A,1155,Naveen Kumar,919800000001,user2@example.com,Bl-1155,KA-38-AB-7000,suv,Tata,Nexon,Silver,Alternate Day,,4,Shanmugha P
Brigade Apartments,Block A,1110,Divya Gupta,919800000002,user3@example.com,Bl-1110,KA-57-AB-5505,car,Maruti,Swift,Black,Daily Wash,,2,Perumal S
Brigade Apartments,Block A,238,Meera Patel,919800000003,user4@example.com,Bl-238,KA-76-AB-5736,sedan,Tata,Nexon,Blue,Weekly Wash,,2,Shanmugha P
Brigade Apartments,Block C,475,Harish Reddy,919800000004,user5@example.com,Bl-475,KA-34-AB-6395,sedan,Tata,Nexon,Red,Alternate Day,,1,Shanmugha P
Brigade Apartments,Block B,552,Ajay Das,919800000005,user6@example.com,Bl-552,KA-89-AB-7192,hatchback,Mahindra,XUV700,Blue,Weekly Wash,,1,Shanmugha P
Brigade Apartments,Block B,1396,Sneha Singh,919800000006,user7@example.com,Bl-1396,KA-01-AB-2055,car,Mahindra,XUV700,Blue,Weekly Wash,,4,Shanmugha P
Brigade Apartments,Block A,469,Deepak Iyer,919800000007,user8@example.com,Bl-469,KA-40-AB-4152,car,Honda,City,Red,Alternate Day,,4,Shanmugha P
Brigade Apartments,Block A,629,Manoj Singh,919800000008,user9@example.com,Bl-629,KA-72-AB-5051,sedan,Mahindra,Scorpio,Blue,Weekly Wash,,2,Perumal S
Brigade Apartments,Block B,1750,Kiran Nair,919800000009,user10@example.com,Bl-1750,KA-28-AB-4638,sedan,Maruti,Baleno,Grey,Daily Wash,,2,Shanmugha P
Brigade Apartments,Block B,877,Priya Reddy,919800000010,user11@example.com,Bl-877,KA-84-AB-1456,sedan,Maruti,Swift,Red,Weekly Wash,,4,Shanmugha P
Brigade Apartments,Block B,1097,Ajay Das,919800000011,user12@example.com,Bl-1097,KA-43-AB-9964,car,Maruti,Baleno,Blue,Custom Plan,1199,4,Perumal S
Brigade Apartments,Block A,1449,Ajay Nair,919800000012,user13@example.com,Bl-1449,KA-43-AB-9815,sedan,Tata,Punch,Blue,Custom Plan,999,1,Shanmugha P
Brigade Apartments,Block D,253,Ravi Gupta,919800000013,user14@example.com,Bl-253,KA-37-AB-7482,car,Tata,Nexon,Blue,Alternate Day,,4,Perumal S
Brigade Apartments,Block C,1346,Harish Rao,919800000014,user15@example.com,Bl-1346,KA-18-AB-5566,car,Honda,City,Silver,Weekly Wash,,1,Shanmugha P
Brigade Apartments,Block D,1479,Kiran Reddy,919800000015,user16@example.com,Bl-1479,KA-62-AB-9269,suv,Honda,City,Red,Alternate Day,,4,Shanmugha P
Brigade Apartments,Block C,137,Harish Nair,919800000016,user17@example.com,Bl-137,KA-84-AB-3736,car,Hyundai,Creta,White,Custom Plan,1199,2,Shanmugha P
Brigade Apartments,Block B,1812,Vijay Das,919800000017,user18@example.com,Bl-1812,KA-15-AB-3252,suv,Tata,Nexon,Silver,Custom Plan,899,1,Perumal S
Brigade Apartments,Block C,445,Vijay Nair,919800000018,user19@example.com,Bl-445,KA-64-AB-1071,sedan,Hyundai,Creta,Blue,Weekly Wash,,1,Shanmugha P
Brigade Apartments,Block B,1547,Rahul Kumar,919800000019,user20@example.com,Bl-1547,KA-07-AB-9523,suv,Tata,Punch,Silver,Custom Plan,1199,4,Shanmugha P
Brigade Apartments,Block D,118,Ajay Patel,919800000020,user21@example.com,Bl-118,KA-76-AB-3632,sedan,Mahindra,Scorpio,White,Daily Wash,,1,Shanmugha P
Brigade Apartments,Block C,586,Sneha Iyer,919800000021,user22@example.com,Bl-586,KA-44-AB-9673,suv,Honda,Amaze,Red,Daily Wash,,4,Shanmugha P
Brigade Apartments,Block B,464,Lakshmi Singh,919800000022,user23@example.com,Bl-464,KA-95-AB-8170,car,Mahindra,Scorpio,White,Custom Plan,899,1,Shanmugha P
Brigade Apartments,Block C,768,Divya Das,919800000023,user24@example.com,Bl-768,KA-31-AB-3062,suv,Honda,Amaze,Blue,Custom Plan,1199,2,Shanmugha P
Brigade Apartments,Block B,714,Deepak Iyer,919800000024,user25@example.com,Bl-714,KA-59-AB-1121,hatchback,Mahindra,XUV700,Blue,Daily Wash,,2,Perumal S
Brigade Apartments,Block A,167,Divya Das,919800000025,user26@example.com,Bl-167,KA-98-AB-7994,hatchback,Mahindra,Scorpio,White,Daily Wash,,1,Perumal S
Brigade Apartments,Block C,406,Divya Sharma,919800000026,user27@example.com,Bl-406,KA-89-AB-9508,hatchback,Maruti,Swift,Black,Daily Wash,,4,Perumal S
Brigade Apartments,Block D,1213,Harish Kumar,919800000027,user28@example.com,Bl-1213,KA-14-AB-8443,suv,Honda,City,Red,Custom Plan,899,2,Shanmugha P
Brigade Apartments,Block A,1541,Rahul Sharma,919800000028,user29@example.com,Bl-1541,KA-83-AB-3619,sedan,Maruti,Baleno,White,Alternate Day,,2,Shanmugha P
Brigade Apartments,Block A,982,Rahul Gupta,919800000029,user30@example.com,Bl-982,KA-49-AB-7350,sedan,Maruti,Swift,Silver,Custom Plan,1499,2,Perumal S
Brigade Apartments,Block C,1775,Kiran Kumar,919800000030,user31@example.com,Bl-1775,KA-33-AB-2839,suv,Honda,Amaze,Red,Custom Plan,1499,2,Perumal S
Brigade Apartments,Block D,1324,Pooja Singh,919800000031,user32@example.com,Bl-1324,KA-50-AB-4766,hatchback,Maruti,Baleno,Silver,Daily Wash,,1,Perumal S
Brigade Apartments,Block B,1132,Priya Rao,919800000032,user33@example.com,Bl-1132,KA-97-AB-5323,sedan,Hyundai,Creta,Silver,Custom Plan,999,2,Shanmugha P
Brigade Apartments,Block C,1891,Pooja Patel,919800000033,user34@example.com,Bl-1891,KA-28-AB-2220,hatchback,Tata,Punch,Silver,Custom Plan,999,2,Shanmugha P
Brigade Apartments,Block C,1314,Sneha Singh,919800000034,user35@example.com,Bl-1314,KA-55-AB-4259,car,Mahindra,XUV700,Blue,Weekly Wash,,4,Shanmugha P
Brigade Apartments,Block A,924,Harish Reddy,919800000035,user36@example.com,Bl-924,KA-33-AB-7807,sedan,Maruti,Swift,Grey,Daily Wash,,2,Perumal S
Brigade Apartments,Block B,799,Arun Iyer,919800000036,user37@example.com,Bl-799,KA-88-AB-5550,sedan,Tata,Nexon,Silver,Custom Plan,1499,1,Perumal S
Brigade Apartments,Block D,839,Divya Patel,919800000037,user38@example.com,Bl-839,KA-39-AB-7144,car,Honda,Amaze,Black,Weekly Wash,,2,Shanmugha P
Brigade Apartments,Block A,1950,Naveen Rao,919800000038,user39@example.com,Bl-1950,KA-12-AB-7915,sedan,Maruti,Swift,White,Daily Wash,,1,Shanmugha P
Brigade Apartments,Block A,1501,Rahul Kumar,919800000039,user40@example.com,Bl-1501,KA-97-AB-4141,sedan,Tata,Punch,Red,Daily Wash,,4,Shanmugha P
Brigade Apartments,Block D,1480,Sneha Rao,919800000040,user41@example.com,Bl-1480,KA-59-AB-1714,sedan,Hyundai,Creta,Grey,Daily Wash,,1,Shanmugha P
Brigade Apartments,Block B,704,Kavya Singh,919800000041,user42@example.com,Bl-704,KA-27-AB-4409,sedan,Mahindra,XUV700,Black,Alternate Day,,4,Perumal S
Brigade Apartments,Block D,859,Lakshmi Rao,919800000042,user43@example.com,Bl-859,KA-22-AB-9912,suv,Hyundai,Creta,Grey,Weekly Wash,,1,Perumal S
Brigade Apartments,Block D,1911,Manoj Singh,919800000043,user44@example.com,Bl-1911,KA-94-AB-3182,sedan,Hyundai,i20,Silver,Custom Plan,1499,4,Perumal S
Brigade Apartments,Block B,167,Rahul Rao,919800000044,user45@example.com,Bl-167,KA-05-AB-5046,sedan,Mahindra,XUV700,Black,Daily Wash,,1,Perumal S
Brigade Apartments,Block D,311,Ravi Kumar,919800000045,user46@example.com,Bl-311,KA-18-AB-8819,suv,Tata,Punch,Silver,Weekly Wash,,4,Perumal S
Brigade Apartments,Block D,1587,Kiran Patel,919800000046,user47@example.com,Bl-1587,KA-49-AB-2855,hatchback,Honda,Amaze,Blue,Custom Plan,999,4,Shanmugha P
Brigade Apartments,Block B,519,Harish Patel,919800000047,user48@example.com,Bl-519,KA-57-AB-8926,car,Maruti,Baleno,White,Custom Plan,1499,1,Perumal S
Brigade Apartments,Block C,1476,Manoj Reddy,919800000048,user49@example.com,Bl-1476,KA-37-AB-5494,hatchback,Tata,Nexon,Grey,Alternate Day,,1,Shanmugha P
Brigade Apartments,Block C,1341,Naveen Iyer,919800000049,user50@example.com,Bl-1341,KA-67-AB-8640,car,Mahindra,XUV700,Red,Alternate Day,,4,Perumal S
Brigade Apartments,Block C,1720,Kavya Rao,919800000050,user51@example.com,Bl-1720,KA-82-AB-6020,suv,Tata,Punch,White,Custom Plan,899,4,Shanmugha P
Brigade Apartments,Block C,516,Arun Nair,919800000051,user52@example.com,Bl-516,KA-26-AB-1743,suv,Tata,Punch,Silver,Custom Plan,1199,1,Shanmugha P
Brigade Apartments,Block A,1300,Divya Reddy,919800000052,user53@example.com,Bl-1300,KA-15-AB-8322,suv,Hyundai,i20,Silver,Weekly Wash,,1,Shanmugha P
Brigade Apartments,Block A,645,Ajay Kumar,919800000053,user54@example.com,Bl-645,KA-73-AB-8489,suv,Honda,Amaze,Silver,Custom Plan,899,1,Perumal S
Brigade Apartments,Block D,1975,Pooja Patel,919800000054,user55@example.com,Bl-1975,KA-91-AB-8860,sedan,Tata,Punch,Blue,Daily Wash,,4,Perumal S
Brigade Apartments,Block B,358,Divya Iyer,919800000055,user56@example.com,Bl-358,KA-53-AB-4602,hatchback,Tata,Nexon,Grey,Daily Wash,,1,Shanmugha P
Brigade Apartments,Block A,636,Ajay Gupta,919800000056,user57@example.com,Bl-636,KA-24-AB-2921,hatchback,Hyundai,Creta,Black,Custom Plan,1199,1,Perumal S
Brigade Apartments,Block B,1639,Pooja Nair,919800000057,user58@example.com,Bl-1639,KA-18-AB-9459,suv,Maruti,Swift,Red,Alternate Day,,4,Shanmugha P
Brigade Apartments,Block D,684,Pooja Singh,919800000058,user59@example.com,Bl-684,KA-63-AB-5225,sedan,Honda,Amaze,Silver,Alternate Day,,1,Shanmugha P
Brigade Apartments,Block C,394,Naveen Sharma,919800000059,user60@example.com,Bl-394,KA-80-AB-7076,car,Honda,Amaze,Silver,Daily Wash,,2,Shanmugha P
Brigade Apartments,Block C,246,Divya Singh,919800000060,user61@example.com,Bl-246,KA-23-AB-8772,sedan,Hyundai,Creta,Blue,Alternate Day,,4,Perumal S
